Text	Cause
Watching her lose interest in the things that once made her smile was heartbreaking.	2
People think I’m just sad, but it’s deeper — it’s like being weighed down by my own body and mind.	8
No matter how much I sleep, I wake up feeling exhausted and hopeless	3
It feels like the joy has been drained out of everything I used to love , nothing excites me anymore	2
I don't feel sad exactly — it's more like everything has gone numb	7
She cries at the smallest thing, even when she says she doesn't know why	7
The things that once brought me joy now feel like chores I have to survive	2
He stopped going fishing, even though he used to live for it.	2
Even after ten hours of sleep, I wake up exhausted and hollow.	3
I've lost my appetite completely — food tastes like paper.	3
It takes me forever to get dressed — I just stare at my clothes.	0
She barely moves from the sofa all day.	0
Some mornings I wish I wouldn't wake up.	6
He told me that dying would just be easier — that scared me more than anything.	6
I stopped going out — I couldn't pretend to be okay anymore	9
It’s not sadness, it’s a black hole that eats up everything I feel.	7
Even when something good happens, I can’t bring myself to care	7
I smile when people are around, but inside I’m completely hollow.	7
It’s like the light has gone out inside me — and I don’t know how to turn it back on	7
Every emotion feels muted, like I’m watching life through thick glass	7
There are no highs or lows anymore — just a constant grey fog.	7
I feel like I’m drowning in nothingness.	7
I used to laugh — really laugh — but now even that feels fake	7
I keep asking myself, ‘Where did the real me go?	7
The worst part is not feeling anything at all.	7
Some days I want to cry, but I can’t even do that anymore	7
My emotions are stuck in neutral.	7
There’s no fire in me anymore — just cold ashes	7
She used to light up a room — now she barely speaks.	7
He tells me he's fine, but his eyes say otherwise	7
It’s like she’s lost the ability to feel joy	7
She doesn’t cry, she just shuts down completely.	7
I can see the sadness in everything he does, even the way he walks	7
He stares out the window for hours, like he’s not really there	7
The person I love is still here physically, but emotionally... it’s like she’s gone	7
I miss her laughter the most — it used to fill our home.	7
He shrugs at everything, even things he used to care so deeply about.	7
She’s become so flat, so expressionless — like all her emotions were drained away	7
I used to love painting — now I can’t even pick up the brush	2
Food used to be my comfort, but now it’s just tasteless fuel	2
I keep playing my favorite songs, hoping to feel something — but nothing stirs	2
Even the things I used to dream about now feel pointless.	2
I tried watching a movie last night, but it felt like background noise to my emptiness	2
I used to feel alive when I ran — now it’s just motion without meaning	2
Laughter feels like a foreign language I’ve forgotten how to speak.	2
Hugs, smiles, celebrations — they all pass through me like smoke.	2
I look at my child and feel guilty for not feeling joy.	2
Everything that once sparked excitement now feels dull and far away.	2
He doesn’t get excited about anything anymore — not even football.	2
She used to bake on Sundays, now she just stares at the kitchen	2
He hasn’t touched his guitar in months	2
Even when we plan something special, she just goes through the motions	2
Her eyes don’t light up when she talks about her grandchildren like they used to	2
He told me, ‘What’s the point of fun if I can’t feel it?	2
I watched him open his birthday present with the same expression he wears when doing the dishes	2
She used to sing around the house — now it’s just silence	2
He doesn’t even argue anymore — it’s like nothing matters to him	2
She said the world feels like it’s in black and white	2
I lie awake for hours every night, my mind racing through everything and nothing	3
I sleep twelve hours and still wake up feeling drained	3
Sleep used to be an escape — now even that doesn’t come easily	3
I dread the night because I know I’ll just lie there, staring at the ceiling.	3
I wake up at 3am like clockwork — every single night	3
Even when I sleep, I feel like I haven’t rested at all.	3
She naps constantly during the day, but never seems rested	3
He paces the hallway at night — says his thoughts won’t let him sleep	3
She’s always exhausted, even though she’s in bed for 10 hours	3
He tells me he dreads going to bed — it just means more time to be alone with his thoughts.	3
I hear her tossing and turning every night, whispering to herself.	3
